3000 20000
1229 -1776 -72
-552 2828 1678
-1808 2671 -65
-422 971 322
-180 400 -790
-2217 -105 2130
-199 -393 2895
1165 -2366 -2354
-1717 1183 -333
1260 -2272 524
2514 422 -2812
-455 1017 2841
-875 -92 2404
-1964 -1413 -2865
1242 -1584 368
-2916 2463 483
-2635 -2180 -1975
-1045 -2843 2474
1560 2177 -1972
85 63 -2039
2603 850 -2044
407 -2076 -987
2107 182 2739
-773 2740 -1584
-459 -2877 -2065
529 -1707 -250
-342 -2774 569
570 -2917 -142
-1803 552 2705
2262 -2063 37
969 95 769
2361 -1478 -2550
-1260 -2407 -2436
-2940 -2276 -1063
566 2610 2516
366 -2937 2004
-1932 -2254 1712
2894 1906 -927
-2608 1718 -1479
-1891 1016 2706
1047 -1772 1412
713 2514 948
2766 2923 -2929
775 2446 -1305
-2182 -1427 665
-177 -2298 2984
-2768 -2789 -1537
1064 2803 -2754
-2455 -1677 -2403
-2225 1149 2718
-2577 1191 2128
-806 3000 -1888
1554 -2139 -2506
-356 -1801 276
-79 2769 -1608
-2954 -1449 -576
1611 2380 -1666
54 -10 178
1296 1724 803
-1501 1388 701
424 -581 2953
-1024 -2098 781
2486 599 -1855
2061 341 -1845
2220 465 -2054
-2609 2411 -1021
2633 1113 2323
-860 -957 -2430
-772 -1402 -529
2317 2516 -1492
756 -1302 724
352 1786 -2141
1442 -1724 1172
2053 -1205 1923
2177 1195 2217
-1177 367 1853
-2687 2372 2255
-1928 -2844 -1212
1722 -825 992
183 2128 -2228
-1163 -1075 -1164
-301 -1963 -1257
-1192 2057 -2864
1648 2021 2074
-885 754 -240
-2640 -1199 -2796
-941 1366 1273
-1497 13 -2649
1623 2614 -2625
-2436 2086 -2812
1737 2795 1976
1294 2834 -534
2576 2792 1694
282 -12 152
-1403 1617 -1186
-2362 -1389 1976
-2893 1064 -1761
1485 809 -737
-2853 -1108 -427
-440 1683 775
2478 -2907 -1310
2607 -1455 -1508
1585 -1334 2597
-1240 -2021 811
2698 -1340 2330
-452 -406 -1451
-774 2847 -216
1057 -314 2189
1906 1858 -2381
-2690 254 -2172
-1945 730 676
1560 -1401 -2857
1934 311 1335
-1930 -2048 -1328
-2087 -1624 955
1825 -1593 2799
400 -561 1730
1152 1844 1682
-2244 2596 -1644
1827 1064 -415
-1375 1334 2172
1378 -25 -1416
-2524 2212 1803
806 533 2140
-1819 -1988 -2006
-1561 2765 -1435
-794 -885 529
-1638 -1493 2162
819 1558 -1630
2311 2431 301
207 2476 694
-851 -2994 -257
-2918 171 1642
-2632 1994 -2697
1476 -2699 1256
1664 2735 2103
-2919 -416 -1581
405 -2034 2831
173 577 1158
2720 710 -1791
-2444 652 2396
-1834 1543 -1459
177 -908 -2060
1012 66 1444
-1183 191 -2595
2526 1553 -42
1451 -1013 -2069
-1040 -1918 568
1594 777 -1078
-2864 -2166 -1306
-2075 -1048 -2290
-1453 -1967 2874
-1161 1358 2225
2514 -855 1654
-1116 1688 -2435
2222 -397 -1428
-1117 2188 -2434
-2376 -1366 2092
12 1630 -1280
86 668 -524
2568 1554 2837
-2618 -125 -1366
-861 -1648 -1208
-1699 -2891 1619
-702 -1335 -1385
1009 2566 -1012
-417 -2204 2827
-526 -966 -265
1958 -2664 5
-1353 1358 -2683
1251 -1825 372
-1989 -260 2761
-1981 1517 277
1100 1504 1825
-1758 -384 -2817
-1485 1393 -883
1327 -37 2777
542 -319 623
247 2429 -2512
2837 2117 -847
2519 -1419 -1710
-2850 506 -1043
-1027 -2581 927
463 1398 -821
1754 1922 829
-2039 951 -2938
1895 -1929 -94
-172 560 -2238
-800 -2677 -935
171 -1763 -845
1949 1904 -970
-575 -2177 -2899
-1946 502 -1691
36 2642 1348
-590 -537 2754
1160 2446 -2518
1231 -2011 1312
-879 643 -429
-1659 1345 2156
-2599 1564 -2524
-2628 -309 -702
2136 2705 2264
-412 -1934 -1667
-992 429 888
295 -1095 -432
-757 -2216 933
2390 165 730
991 374 1151
2774 -2013 2183
-2278 87 1427
524 1896 -659
-73 -2353 1167
-2027 -914 -375
-2746 579 -530
667 2191 517
-2383 761 493
2663 -2275 -557
1472 947 -809
-1600 1448 2370
-1646 227 -2420
2807 1413 -572
-819 -1049 -1859
803 -363 788
-2493 -1418 -502
-808 -2452 -2475
-1566 -885 2562
520 -2589 -2064
1094 -442 -2781
-974 -109 -16
1755 318 -713
-1255 -2904 564
78 1166 2589
1837 -2852 -998
-611 -1220 2206
-1591 -1671 -1114
-104 1732 -123
1257 2426 1306
-1482 761 -1444
-48 -1476 1928
466 1006 1651
-1609 -952 -1480
2173 1610 1709
-2967 319 -2602
216 2088 -1263
751 -2111 -1689
1613 -924 631
2022 428 1956
1038 -2088 -2562
-45 -1593 -2113
2995 844 848
1992 388 2433
2428 2542 197
-152 -867 2696
-1889 -1857 845
1112 -2775 -269
-497 -1697 -328
1511 -1934 -1680
828 -542 -682
-1467 -1907 -1258
-89 -801 -2746
1393 -2042 -554
-538 -1345 2835
1117 -67 -522
-957 -395 -800
-1058 -1082 1156
817 1272 2501
-163 -1805 -174
344 138 -312
-614 -2850 -426
-2368 1113 -1804
-604 9 -2541
-1200 -1862 -855
1639 -2347 -1382
1553 -229 -33
41 -1919 -1451
281 213 1282
1114 -2003 -236
-2781 -2066 -2104
-392 1830 1191
2508 -1810 1685
2977 2351 -2759
-2205 1310 -357
-72 911 -1583
-2351 -2070 398
2137 -1536 -892
-2218 -2095 -2896
683 261 -227
1306 2561 1742
-830 832 2181
2976 -1759 175
-775 -2238 -2965
1875 -1562 1947
-358 1437 -2611
-1923 -19 2280
340 2331 -2076
2760 23 2448
-1630 -999 937
1047 2657 -2733
-1783 -1145 621
2263 132 2181
1919 -15 2188
1481 -635 1433
-1836 -11 -949
-2753 2402 1100
996 -1343 -1486
212 -2341 -591
2318 2544 -2558
-622 2540 1329
-353 2965 -143
-239 75 -929
1916 2831 546
1487 -2826 2094
-1957 885 444
195 1070 -361
-2055 -651 2151
222 -860 -490
1362 1703 1941
3000 -1812 -1266
698 876 -2748
-2677 -361 -2936
2424 -2334 -963
1985 2867 -2740
-868 -387 2286
-276 -212 -1560
-228 1841 -55
-389 -2422 -931
-2834 2490 -2270
-1836 2285 1741
2334 -2854 -2636
-895 -2793 777
1425 -104 -263
840 -221 2418
2214 519 2318
1559 -1254 -1151
856 347 -639
2597 -785 -2614
1935 2452 -116
2923 -490 308
-2420 2255 1089
1 1551 896
2077 232 -1156
-1849 1145 -1214
-1243 1815 -1644
1858 200 52
-2762 -2292 -1664
-1702 -638 -671
-273 -2846 -2120
2848 1126 2918
1431 188 2446
260 1318 2251
-1656 1306 -1385
-46 -1027 2366
-2144 2301 -2485
-252 1036 -1183
-2013 1734 -262
-148 -53 167
-1731 643 2037
-1196 979 -1900
-2046 -508 2565
-931 2866 2720
-2091 1908 1749
2673 2132 -1166
-2925 -937 1121
-1835 -222 222
-512 1883 -1814
2718 1944 -2263
1754 -2891 -306
1922 -895 2508
2535 -950 2132
-760 -1433 1085
1688 503 -638
528 -179 -1628
2109 -701 407
1945 -1216 -996
305 -833 -2536
2091 -814 695
-2489 -1743 -307
2223 2633 895
1465 -746 -1387
-2547 -1664 1886
2709 2678 1279
-1492 -1501 1168
2642 588 1899
-2683 -1588 -619
1251 1087 1667
-92 709 -923
2918 -2135 -2622
2637 -1018 2238
2660 -1180 1480
2966 -19 2784
1600 -2489 1646
2140 -532 1132
1667 230 1176
-535 -1262 -833
-1797 -2330 1381
248 1349 2552
-2258 -1600 529
174 -2465 -116
2760 427 -1413
2515 684 204
2126 936 -1502
-174 273 203
416 626 -2406
2742 -188 2093
210 853 -2834
94 -2434 2266
-662 1267 1603
-1247 -1827 2319
2861 -183 -1413
174 2957 1726
-24 1404 -2917
1000 -869 599
-2392 -1193 -1627
-2699 348 -2912
-2471 2072 1297
-450 73 -1981
1307 2645 -1407
363 -1330 -2899
985 545 -2899
798 -1886 -1517
2833 -1583 -2190
593 -2790 -690
1965 -1977 196
-1985 -2158 1411
1138 -1154 2874
1164 -161 1124
2074 -15 -1650
480 -1890 2002
1862 -1282 870
-1379 -753 813
-733 -2254 294
-1970 -2114 -647
1089 -1278 -2244
-916 2129 -2817
920 -150 -2927
1746 -139 1250
1874 2202 -692
-2389 -579 -3000
737 752 1169
1815 2159 -802
-1424 -2942 2791
-715 -1981 898
-2230 -2358 -1942
1123 951 -9
1029 1325 -2168
-1324 -24 337
936 2639 405
178 -2192 2854
1053 -1647 -1986
-1022 2294 191
1263 -1145 546
-534 -1886 -845
-1594 -2175 327
2961 -1024 -2915
-2501 -2294 -1395
-2528 1335 135
-703 -627 1111
-35 2477 1762
-721 -475 1156
1846 1003 2338
-1009 -1203 -2540
-623 2161 2506
-476 -68 -2966
132 -2130 -481
263 -1124 2162
-435 -839 409
-547 -2112 -430
-34 -152 1766
85 2147 -1341
1095 2401 1516
-256 28 -335
-2919 -2240 -2468
-1516 -2338 1212
-1451 -499 367
-2405 2871 -1034
1743 -647 1927
2802 2820 -1077
2788 -1561 -2455
-2292 -2501 -2350
-482 463 -2851
-1535 -2845 -2164
1581 -1127 -1594
2939 1796 -2392
2415 -198 -1139
-1120 2071 2308
2302 -38 761
-1926 -1849 -2780
-1694 1626 -1458
-1439 -444 2773
1811 -1413 1658
-437 2461 2943
-823 1372 -1806
965 1138 -279
1223 -1963 -1261
1123 1199 -1136
-1217 2423 1413
1020 -533 2434
1846 -1731 -1733
1149 2313 2448
1031 2712 13
-35 -1206 2742
-620 -119 -574
1907 -831 -2313
1947 -1452 88
803 -797 -1700
579 880 741
-6 2774 -748
701 -2099 -2711
-2515 2276 -2689
-525 69 2724
-2875 -1600 -1747
2997 -866 -781
471 -2504 728
1922 -1950 562
-2857 -596 -2254
1586 1608 2443
-2179 2749 -836
208 1655 -2811
2732 1601 1592
-621 1034 -1715
-2362 80 -2524
29 -2622 2940
836 1793 -921
2201 -799 -2740
1136 13 733
65 1624 603
393 1753 1073
246 -2634 2292
2297 2681 -1798
-1134 2510 2120
16 2762 -395
1687 -1371 -1410
-1502 2215 -2825
1178 -2482 -626
477 2187 -1305
1351 1800 1044
-2041 1882 1936
-1967 65 -406
-1474 2870 -159
918 -1145 2985
100 1924 -2165
1808 -2321 -2885
-2325 -1262 1002
-1547 -254 -1722
-554 -2107 2253
2207 1264 -2002
-1311 1206 -1819
1692 1837 2007
1981 1202 2372
-810 1195 -606
-1713 -1239 -1311
1331 2122 2664
2339 -880 139
-1578 -1513 101
-1113 1865 -2758
-292 1067 -1182
-618 -719 -330
-2020 780 -865
215 2824 -2936
-2459 153 302
-2959 -2444 1633
112 1401 241
1547 568 -633
-2190 2327 1671
-1429 1479 -2672
-1419 512 -1536
1565 -1899 -642
568 -1782 -681
723 -1400 -1247
959 -1884 -875
922 1354 774
767 -89 -2436
1763 -1923 2400
-213 -1502 1854
1616 1329 1869
-43 -221 -767
767 -1212 -678
1578 1197 -1414
2734 -1264 -1365
-2767 -2990 1591
-2555 -1946 2200
789 -1693 2157
899 2291 2757
-1766 2245 -1303
2024 2261 2194
-1929 1448 -2580
1011 1739 -988
-781 749 -2399
-1353 1314 -2145
-2366 -644 -1882
1292 -1530 -368
-2222 -78 2349
-409 2759 909
-1796 -184 2820
-1631 1271 -2396
1604 -54 -2588
-2144 -2852 -811
-1843 1116 -706
-55 -2322 1165
1336 -2718 -2129
-1656 1302 -2895
-1354 -2945 581
-1002 2362 -2697
1694 -1317 2278
903 1916 915
1355 305 1432
-1589 2422 -1533
2880 -1493 697
2443 -625 -2900
2413 190 -1866
147 -1875 -67
2373 -908 -1362
762 2200 279
-948 580 -1958
-1663 -2083 -2877
811 -2488 2375
908 -1147 156
-2002 1981 2525
1715 -651 -2805
-513 -940 -1228
-2125 2156 2818
767 -1507 1790
-1920 2655 1437
-2206 715 1695
2839 -1249 2718
-858 -108 1081
-895 -867 -2344
1252 1738 286
-2230 -1484 1635
-622 45 -2514
-2443 -1744 -1914
842 1268 -2383
2088 -2776 1927
2910 -601 577
-2291 130 -963
-1948 1749 -1579
-2707 2140 -1786
537 1029 -2733
838 -2943 1728
-2048 1164 2328
2392 904 390
927 -79 1526
-2367 -656 -2725
-987 -307 664
-1138 -919 612
816 -163 1625
-2416 -788 1613
1177 730 -2523
-309 1759 2371
-2319 -1301 -1035
668 520 2220
-2157 -1009 199
1198 -2623 1961
-2315 2187 275
1921 522 1107
1057 -815 -875
-716 -321 155
2049 1284 -1094
-1778 -1101 -314
866 2652 -2992
-1494 2678 -990
-975 -1778 688
2711 660 1079
-678 -1345 251
-985 324 -2692
-2146 2468 -2656
645 2484 2029
-2588 2970 -119
-1858 -1980 1040
-2990 1387 2958
237 -2559 2066
-2837 2095 -1460
-500 1628 -123
667 -1994 1309
852 2867 -2561
955 -1804 358
-157 -681 2607
2506 -1478 422
2016 -214 -2718
330 633 -2758
10 -1396 -886
2573 611 -878
13 -2689 -1344
-2144 -778 1037
-772 2318 -133
-1229 -2954 -2005
-1166 47 -672
2692 -425 -2870
-223 -2826 1815
2089 -2480 2287
-805 520 -1317
2874 -1172 -2009
-2217 -2541 2719
1700 -1473 939
1981 -774 795
1143 -1582 -12
778 -1222 -104
-610 -201 2735
2515 -18 -2609
-2611 608 -37
-354 626 -387
-1797 -1829 -521
559 501 -455
2886 -2110 2102
-523 -2556 1355
-482 2307 -1424
-725 1244 1715
499 -398 -961
1278 1950 723
-2940 -540 -259
-1265 1200 -2910
75 -2261 -2848
240 112 -1178
2954 -1778 2420
-1127 -444 -1762
-2291 -1605 -2802
1975 1727 -2745
-2824 315 -2841
2660 858 260
-1535 -824 1925
-903 2245 -986
1538 1279 -126
-2406 -2003 898
-2749 -2846 896
2765 250 -2653
-2991 -2058 2708
-769 -2464 1528
-157 933 1093
515 -764 564
-1416 -1396 2887
2581 2839 1012
1574 -705 -1459
1023 -119 1572
-736 1663 -654
-2629 1399 -8
1146 -1059 -1185
1479 1901 -2217
2077 -1735 -2363
-417 2976 -1760
-2460 -2371 -2309
-602 2908 -753
-305 1409 145
1470 967 2935
-834 29 1364
2729 -15 1011
-70 2214 -1125
-189 -1544 2461
-1996 -2800 -376
603 2400 -1891
527 -1111 2890
-1766 1139 1219
2462 -991 -2276
144 -2812 2777
-1128 1756 -277
2283 1605 -973
-1953 1447 -2557
1208 2759 2438
489 2792 1180
-576 660 -423
281 1491 -170
-1363 229 -1309
-1907 606 2827
-1364 1326 -1525
121 423 -1825
2477 -1486 1889
605 1505 -1472
-1859 2603 -2606
-2200 1351 1515
213 2502 231
-17 -2636 1826
527 856 67
243 5 -665
1949 2550 1436
2876 -1344 -970
-490 -1262 2236
-1762 -66 2414
-1162 -2918 -2808
590 -329 -2617
1775 1186 -778
743 -2657 -3000
-2931 -1595 441
-2309 -1956 -505
611 -1666 1281
-134 -1423 -936
2522 -1027 779
638 31 1847
2806 -2396 2771
2142 2833 -1738
2268 1284 1082
-2349 1766 2862
2352 -2507 1257
2392 -2525 1181
-1264 -172 2673
1578 2210 229
1994 2299 570
1634 1193 2786
152 -2247 -865
-682 -2932 -1000
1972 -1747 -2251
-1201 -482 -1206
-1247 539 380
2126 -1826 -1056
498 -1497 596
-1648 -1975 -1868
-2267 -779 852
-2407 1726 -904
1244 -999 -21
2553 -1380 -2209
-971 -2947 1748
1024 2383 2028
1693 1805 -2468
-458 2476 -352
428 -1346 -1582
-776 656 2870
-2622 -1061 1517
-1702 -1017 -2508
178 -2857 -156
-1092 -1619 451
2452 -725 -841
-1236 -120 -2106
-1827 2389 -592
629 178 -157
-364 2481 -2212
2020 2873 -358
-1581 2243 2475
1801 844 1850
-2740 2792 -4
143 591 -496
-1588 -678 -947
2257 -1635 1979
2211 -1038 -1776
-1623 1521 -1887
1025 -945 1700
-1423 237 797
-1907 -595 755
643 2571 -1937
303 -1570 -2041
2163 -90 -821
-782 2437 272
465 -886 1967
-568 169 -2859
-921 -2690 2461
-402 -1136 -1367
856 -1322 797
-1643 509 -282
-628 2823 -1961
2095 184 -1424
-1621 -1271 2102
1375 2778 445
2618 29 -609
-556 -435 1334
-2450 1909 -273
-2579 -22 1707
-875 -1603 2913
-443 2152 1230
545 -889 570
-1645 -2058 245
-880 -895 1790
596 699 -1062
-2723 -564 347
2571 -1637 -1457
669 1491 1852
-2997 614 1724
-1527 583 -2192
899 -1251 2958
-2882 1621 73
-2539 -265 -254
762 -2499 -1586
2914 -2451 407
-886 -545 -2252
-1811 1084 2454
-1509 12 2921
-1480 -2008 2823
496 699 -1
-1878 -85 -2893
-571 2073 2770
-264 2274 1875
1735 2503 -239
188 -2567 165
-2514 2242 -2881
1481 -133 -1773
-432 542 -505
1496 -911 -1210
231 -1963 -1682
-136 1863 -374
2319 52 1525
2355 510 -2700
-1583 186 -2723
2609 1267 -2856
585 1732 1617
2078 2943 2238
-1585 -2129 -2736
-177 97 992
-1748 -1723 2630
-780 -2914 1944
-2005 -1658 -1953
1834 -1327 2117
-1481 -1489 382
668 2721 103
813 -1079 -1627
-1219 1147 -1802
-1588 -2090 1445
1001 -2740 -509
643 2001 -852
-2323 2252 459
-962 -676 -2582
1449 569 -953
2363 -1730 -1073
2539 -380 2938
-1779 361 -2616
-2202 2926 1529
-1277 -520 -1431
-2776 3000 2891
1345 1798 1325
639 1735 815
-1951 -436 -560
1617 -866 1872
-1390 -1196 1835
585 595 -83
-954 -322 1133
-672 -1603 2796
1541 -513 321
-492 -1485 157
-1005 -1994 2852
1098 2496 -2449
1622 2373 -1179
961 -1558 2648
-2929 543 -2239
777 1323 -1255
1450 1921 -346
304 2020 -626
-1312 -605 596
-1246 2302 -428
-2273 -782 704
2074 2256 -1359
-872 -2865 -1515
-1263 2918 1833
1444 -1127 1564
387 1912 -2164
-1750 -73 1591
2755 544 2035
2043 -1279 2615
812 1370 2390
2008 -1582 -2920
721 1936 -1545
-2991 -2816 2109
-269 1615 -1459
-126 -1172 1696
-1877 -1409 900
1725 -2617 -1009
1504 1026 -512
-682 2229 -58
-160 1024 -1621
2475 126 -876
-1969 -2558 2201
2982 -738 -204
-2086 -2797 400
712 -850 -1718
2929 -955 -501
-48 1519 -2895
-2060 1121 2676
403 -1153 1697
2785 -641 2088
1701 -319 233
-2270 -2286 -583
2943 1105 2603
-570 2976 -384
-423 249 1824
-1679 -1414 -1970
2679 572 -266
1119 172 1801
-2217 -924 -1916
-2632 666 861
-2218 -2362 -2590
-289 548 125
-1467 2146 551
-1517 847 2151
1882 808 -2249
-1026 -927 -759
1362 1603 80
396 2715 1500
335 1369 394
-2456 252 -1701
1738 -12 -1657
-1914 -2420 2367
1611 731 1732
1793 -715 1796
2068 -2454 -1630
1629 350 1301
1787 1716 370
542 1422 256
-70 480 -991
-1414 2447 2751
-1314 -1583 -792
-1625 2371 -2378
-2705 1869 -2547
1647 -2209 -1947
2298 1553 -2411
-450 -606 127
399 2819 217
-2541 103 2983
-2079 -2996 1714
-1903 -1567 -1913
-2220 -1727 1024
-264 1597 2753
-1387 -1608 -1423
-2774 1324 1031
-718 -1785 -1872
-95 -2247 1734
-1093 -2117 -355
-2427 603 489
-1205 -2789 1590
-632 2583 -1679
2139 2735 2273
158 -812 1072
-2402 -528 -1184
1946 -713 -974
-2328 778 -2732
-1397 -1958 121
648 -845 -1093
995 2839 -2919
-329 -1407 -2440
-2643 743 -1776
1165 1167 1822
1931 -1728 2097
-1088 952 -397
-255 -2957 -1139
-616 2585 1753
-242 -1824 -2425
2832 1984 -258
1039 -1753 -231
-2582 -2387 -303
761 -1208 2928
1948 2290 -1556
-293 -642 1166
160 -2157 -2918
-2146 2593 2519
1754 -608 15
1285 -263 -1351
2669 1190 -221
2454 2871 -1527
2546 -262 -1818
-393 2561 -589
2103 -2716 -2895
26 59 -2403
-2676 -494 -2936
153 -2944 845
1024 6 -2146
-1303 1431 390
1161 2293 1253
-1693 -1941 1936
625 393 -389
431 -2830 -865
-2551 -2905 2219
-653 -1611 -2807
-1359 -2258 1903
-1638 1960 2278
2228 -2150 1742
554 -1102 2985
238 432 -1771
1558 187 -210
-786 -2709 -1057
-578 -790 -2329
-1577 -1095 2860
-1707 -464 -2581
94 -163 -1735
1078 -186 -736
-1737 -2048 -2134
884 -943 2505
-541 1452 -56
1592 -2291 1717
1842 -506 2311
645 -1417 -317
-2225 -2716 117
-2662 -1863 -834
-2014 -2615 35
1420 -894 2058
463 -2886 1357
-1838 2584 -840
-491 -1023 1852
1801 431 -1243
-1229 -2539 -645
1018 1862 183
-2693 -360 1884
-1695 1514 1336
1487 -1577 707
1745 1939 853
-2513 229 1301
1678 -12 2437
869 -1645 2502
1934 1668 1267
668 52 -2832
-2362 -2583 2615
-202 -2061 2740
2202 -1674 -2720
1656 -2956 2436
-475 -2257 -249
2209 -1077 -382
-589 1766 -1448
1465 -2780 1362
2615 -589 -1485
2239 429 -1917
2290 -1701 -426
-447 751 -2806
228 1549 2248
-948 -367 1932
2975 1644 2219
-989 2920 -341
889 1993 501
1084 -1085 -2245
1079 444 2320
2454 -236 -3
2052 -1528 2268
-2473 797 -1046
-1342 2729 -2142
-2663 1972 -2823
602 687 -2759
317 -1540 566
-1764 384 -2815
-2755 -1148 -2791
2170 -505 -401
-1831 331 1745
-2826 59 -1623
-153 431 -250
2893 2925 -701
-1490 -678 -376
2758 -1909 264
2036 -1982 -2511
-329 146 2670
-1811 -2668 -180
1153 -1295 -2649
-2818 2653 -94
26 2383 1281
554 1274 2971
1153 1026 911
1884 2221 2677
-1510 -987 -90
-2897 252 -282
2658 -2262 338
-1897 -249 -2266
2712 2580 -1594
-600 -16 792
2686 929 -2848
1044 -1925 -1055
-2554 -2794 -1508
2516 1773 -2571
1929 -413 334
-1817 1287 2531
-2618 -203 1152
-1896 1843 -177
-2772 -2733 -2147
1109 2180 -2924
-29 1553 -2243
2406 2816 -244
2130 251 -2739
725 710 -2845
-2953 1850 2880
274 -1726 41
1432 -2888 2819
725 517 2109
1321 2221 2382
-1327 -1805 -2233
1748 1583 -2673
2982 -91 -1007
-1506 2102 520
-642 2736 -2371
-2763 1665 2647
215 1125 -2611
2326 2057 -1257
-1362 -2269 -2845
1582 1576 -774
1229 1817 1870
-997 1687 2564
-714 3 2496
1725 -438 -434
1272 -1908 -1380
-1763 1237 2902
2239 -2855 -2211
-1169 -252 -139
-1365 414 -1267
1266 994 -1287
2243 1567 1258
1907 1166 -2054
-388 -943 1605
-406 2902 -1824
2705 1535 -1970
-1726 586 -2059
-2230 1809 499
492 2486 -1733
-2254 1231 1662
-1143 -1780 -1511
174 -1149 -426
2716 207 -1063
1949 2230 487
-1234 2237 -1856
-2190 -2825 -2909
-1725 1004 1482
-2094 1650 788
-2030 -2027 1716
2871 -2204 -708
630 2995 1462
2532 421 2885
-353 -507 2050
-2781 1593 -1713
1375 2762 -2778
917 1153 -1540
583 2496 -856
680 989 1668
-2253 -2428 -1471
1376 -2385 -2005
1267 2229 -2903
-828 2575 -1227
2611 -1346 958
-135 1042 -2759
1093 -1151 -1663
503 1595 -36
-769 -395 -1317
-704 -374 2004
-2684 -19 1356
-202 386 -934
-463 1107 -2592
1665 142 1361
1294 -990 208
-631 1684 -1602
-2645 743 2709
-361 -1315 -2863
759 786 -92
-1137 -1521 1004
403 -1201 -2770
-2955 633 1055
2944 381 -1124
-1102 2529 -30
2257 -1727 2557
2658 1042 2467
2484 -126 -963
-767 -263 -1084
498 1812 295
-1172 2434 -1689
-1850 -2498 -2386
-2797 -2323 741
1186 -2237 2036
1581 1270 830
-548 1417 1058
308 -1490 -721
2688 -1379 641
1981 2143 -84
2812 2437 742
-977 1833 -279
2889 -2086 -1254
2015 1434 796
2068 1208 2997
-2640 1314 2096
-864 -283 -266
1365 1498 442
767 246 1745
-1310 1548 190
628 -2894 2460
-2167 386 514
930 -925 -2623
-1541 1338 -921
1755 -851 -1285
2928 2595 1718
2917 -2840 2603
-1796 -696 -1814
-1193 -1554 551
1592 2493 2666
1672 -1888 -1218
-1174 -2946 -2459
2238 -2594 2670
791 -840 -127
211 2715 2073
-896 -259 902
1194 -2176 -1564
76 1983 560
-2154 -1883 479
739 2864 -1847
-2265 728 -999
952 2693 -1057
1108 283 -2496
2216 -2887 2009
1273 390 1126
-258 -1702 -1643
-884 2721 -1546
787 2663 -1673
-1814 -2648 2263
2959 -642 1353
-1018 -2432 2224
-2359 -1324 52
-1757 886 -139
-1073 2059 -2794
-1010 1826 -2474
-1554 2819 -2169
-2705 -64 -1215
-1550 -1555 799
-2467 -1974 2119
-1878 -2032 -1394
-980 -709 1216
586 441 2673
329 -2217 -2506
-1472 -1354 2103
1344 1844 2982
610 -2461 1994
1045 2972 -2357
-2965 -2774 548
-175 -2025 1778
2453 2453 -850
2717 -2695 2431
320 544 1560
-2155 -1506 1316
2349 566 -83
-1461 1347 2518
1636 -2866 -1832
295 -402 -652
-1726 -228 540
712 -572 934
2756 -2808 -1089
-2235 2224 1108
608 -273 1314
2911 1800 -978
-2597 1922 395
-230 681 1281
903 1928 -526
2208 -2284 1887
1291 -493 2542
1909 1312 -2768
590 -930 -669
672 -1927 -2254
1138 968 -539
2154 -2457 1458
-1827 -2896 2259
1253 2805 -951
-857 1167 -965
-346 1316 1314
-565 -2501 1092
-1435 -1092 396
-2003 -798 1312
-975 2922 1219
2144 -1517 -2384
1677 2059 -1409
445 1757 2056
-470 -998 -1981
-2968 -51 755
2844 -2538 -443
1053 -759 -1583
-151 -1993 -2107
650 1067 2398
-2780 -1423 -932
716 -777 790
2051 868 544
1168 1324 -2206
1927 2112 -2234
-210 -894 2926
1751 -2761 -1470
2768 275 -54
267 2142 -2443
-76 -2183 2470
-2489 2415 -2692
420 1469 1445
-2240 2546 1612
768 -1074 2299
2839 -2655 2391
1853 -524 -1438
1947 -1503 -875
-1638 -804 -1338
-1802 1663 -2641
2032 1748 -737
1185 -2097 2519
1779 1219 -2081
-2016 -58 -1854
-370 -41 -1968
-2098 2907 2785
-2786 -2032 2461
-2417 2950 1349
733 -1526 -2497
-320 -2249 -1229
-1133 -1059 1843
1103 -2715 -1464
420 -2161 321
-1572 2059 799
2357 -427 2504
1056 1882 944
2377 1254 -132
-1998 1221 1332
2332 -412 -2155
442 -1286 2137
186 -2106 1550
2651 -1063 62
-1685 548 1967
807 667 1084
1427 32 -2851
1102 -1134 -607
-1495 1913 -2326
-1977 486 -1857
-1853 -318 -2903
1914 1256 1832
1544 207 904
884 2316 2914
-1694 -193 494
1966 1137 1918
135 -2835 2496
-39 2575 2361
2861 -1821 -2754
2891 -1951 1653
2751 1981 59
2296 -1999 -1004
2032 -1852 -2909
2625 -2833 2032
377 2898 -2103
388 807 -2608
-3000 -1047 2661
2960 2787 1463
-2247 -1448 -2563
-2906 -406 -1719
-2361 -2264 -731
-1390 1046 2236
2154 -834 1245
2404 2499 -607
-652 578 -2081
804 1287 -1711
-2773 2987 2558
-1512 704 -975
2821 1939 -1736
245 372 2811
-1759 -1521 1302
1682 -2071 -570
2939 -945 -650
-2227 -1588 1496
-137 2748 1869
1067 -1406 866
-2144 -461 -1032
89 -2581 -2150
-558 2709 1507
-1547 -1633 -949
-2773 1472 -1194
243 -2298 155
-1880 -1329 -99
2147 1053 2667
-2079 1695 1602
1047 -1754 2839
2063 2525 227
1994 -2864 -1790
-1836 -21 -2837
-1400 -2312 1847
-1477 -1799 -2731
-2784 -2362 2194
2116 1387 1781
594 400 2165
1834 -2587 2364
2023 -1771 -1665
-1385 -2434 -2847
-2413 -2138 2769
-1565 -33 -2966
-967 961 767
2891 1495 1486
636 -1677 2657
2629 2315 -1538
-2941 -1431 2635
-996 269 -718
-2298 -868 1730
2287 -2594 -2579
1811 1778 -1292
973 -1141 -1941
-2315 -1113 295
-389 -251 2850
1087 38 -484
1720 1955 -864
-2697 276 1273
690 1295 2866
